name,height,lat,lon
45008,5.0,44.283,-82.416
45009,5.0,41.6,-82.0
45010,5.0,43.0,-87.8
45011,5.0,43.02,-86.27
45012,5.0,43.621,-77.406
45013,2.0,43.1,-87.85
45014,2.0,44.8,-87.76
45015,2.0,41.714,-87.527
45016,2.0,41.783,-87.573
45017,2.0,41.903,-87.622
45018,2.0,41.968,-87.637
45019,2.0,41.979,-87.649
45020,2.4,44.789,-85.604
45021,3.2,45.048,-85.493
45022,2.95,45.403,-85.088
45023,3.0,47.27,-88.607
45024,2.95,43.973,-86.556
45025,3.0,46.969,-88.398
45026,3.0,41.983,-86.617
45027,3.0,46.86,-91.932
45028,3.0,46.818,-91.828
45029,3.0,42.9,-86.272
45132,5.0,42.46,-81.22
45135,5.0,43.78,-76.87
45136,5.0,48.53,-86.95
45137,5.0,45.54,-81.01
45138,5.0,49.54,-65.71
45139,5.0,43.25,-79.53
45140,5.0,50.79,-96.73
45141,5.0,61.18,-115.31
45142,5.0,42.74,-79.29
45143,5.0,44.94,-80.627
45144,5.0,53.23,-98.29
45145,5.0,51.87,-96.97
45147,5.0,42.43,-82.68
45148,5.0,49.65,-94.5
45149,5.0,43.54,-82.07
45150,5.0,61.98,-114.13
45151,5.0,44.5,-79.37
45152,5.0,46.23,-79.72
45154,5.0,46.05,-82.64
45155,5.0,43.59,-79.39
45158,5.0,59.0,-94.0
45159,5.0,43.77,-78.98
45160,5.0,43.417,-79.633
45161,2.3,43.179,-86.357
45162,2.3,44.988,-83.271
45163,2.3,43.986,-83.595
45164,1.0,41.732,-81.694
45165,2.0,41.702,-83.261
45166,2.5,44.785,-73.258
45167,2.0,42.186,-80.137
45168,3.0,42.397,-86.331
45169,2.75,41.615,-81.821
45170,2.5,41.755,-86.968
45171,0.82,46.724,-87.411
45172,0.82,46.742,-85.958
45173,2.0,46.573,-86.572
45174,3.0,42.135,-87.655
45175,2.95,45.825,-84.772
45176,3.0,41.55,-81.765
45177,3.0,41.894,-87.613
45178,1.0,44.603,-73.394
45179,0.6,47.195,-87.224
45180,0.6,48.019,-87.8
46001,5.0,56.232,-147.949
46002,4.0,42.612,-130.537
46003,4.0,51.831,-155.85
46004,5.0,50.93,-136.1
46005,4.0,46.14,-131.07
46006,4.0,40.782,-137.397
46007,4.0,59.2,-152.7
