ecmwf_u_front,ecmwf_u_late,ecmwf_v_front,ecmwf_v_late,ndbc_wdir,ndbc_wspeed,sar,station,scending
4.824390228305474,3.8988318349070354,4.28725814638884,6.397503116003383,223,8.7,S1A_IW_GRDH_1SDV_20170416T230513_20170416T230538_016176_01ABB0_6C3F,41064,Ascending
3.7364956769025914,4.441567646742769,5.02987273321914,5.378313595074996,61,9.9,S1A_IW_GRDH_1SDV_20170418T224911_20170418T224936_016205_01AC97_F9E0,41001,Ascending
-2.7399901491550898,-0.3606751169109259,0.8420491247890354,3.9518838168525763,49,5.0,S1A_IW_GRDH_1SDV_20170420T223430_20170420T223459_016234_01AD81_6351,44013,Ascending
-2.112451866720022,0.4170846848715328,-1.0133984645934149,3.048115331413939,88,4.3,S1A_IW_GRDH_1SDV_20170420T223430_20170420T223459_016234_01AD81_6351,44018,Ascending
-39.234127639645465,-39.234127639645465,-44.598994771988174,-44.598994771988174,59,9.2,S1A_IW_GRDH_1SDV_20170420T223430_20170420T223459_016234_01AD81_6351,buzm3,Ascending
-0.8016479640274596,-1.4413008851195812,4.472367354249761,6.859187257962398,172,3.9,S1A_IW_GRDH_1SDV_20170421T231221_20170421T231246_016249_01ADF0_C87E,41010,Ascending
2.791553861652879,2.6195259927227994,4.598677166672513,6.0490622541475245,213,7.3,S1A_IW_GRDH_1SDV_20170421T231311_20170421T231336_016249_01ADF0_2DDB,41004,Ascending
5.161177182971401,1.105196160591838,-0.05083058371660343,-2.857957277042868,310,8.9,S1A_IW_GRDH_1SDV_20170424T233537_20170424T233602_016293_01AF45_9DD2,plsf1,Ascending
4.451259357668405,2.8739334045207983,-4.473851773899412,-3.180265074259537,299,8.6,S1A_IW_GRDH_1SDV_20170424T233627_20170424T233652_016293_01AF45_60C6,42013,Ascending
4.233195861841551,2.49595667842091,-4.82664814652847,-2.716403176913925,295,10.2,S1A_IW_GRDH_1SDV_20170424T233627_20170424T233652_016293_01AF45_60C6,42022,Ascending
