height,scending,wdir,wspeed,sigma_vh,sigma_vv
17.1,Ascending,227,5.7,-30.092627030193793,0.011869828
6.6,Ascending,110,4.9,-23.564051877295196,0.01751044
9.1,Ascending,129,7.8,-21.618411394796503,0.021017833
35.2,Ascending,244,9.5,-30.569778165616526,0.009237021
35.2,Ascending,276,5.4,-27.937097116962608,0.017010746025991744
35.2,Ascending,349,5.0,-27.776134581953663,0.004008498713130172
11.6,Ascending,308,4.4,-20.981697138123245,0.036836598
11.6,Ascending,318,4.3,-21.17280778719771,0.034691963
9.8,Ascending,28,3.8,-24.135949476279123,0.023704598
5.0,Descending,223,6.4,-30.49490474608953,0.011078388
5.0,Descending,225,5.5,-31.650231996973368,0.0063134343
5.0,Descending,342,6.3,-29.044464388037703,0.003928155284946444
5.0,Descending,318,6.6,-28.97284567566547,0.018664213
4.0,Descending,323,7.6,-30.328217433497645,0.013567136
4.0,Descending,158,6.6,-27.024418253012406,0.02145451
4.0,Descending,338,10.1,-30.990772421057557,0.012257141
4.0,Descending,5,11.5,-31.449841899475864,0.009500635
5.0,Descending,1,6.3,-30.436589202396508,0.008024699
4.0,Descending,202,1.3,-28.45420363658709,0.0012952532
5.0,Descending,330,4.2,-29.658675224529848,0.01162624
5.0,Descending,344,5.4,-30.244111508164018,0.007014467
5.0,Descending,346,8.5,-28.24281985771442,0.018233018
5.0,Descending,347,9.6,-31.637463572625823,0.008864151
5.0,Descending,309,5.4,-30.664991523016887,0.017387232
5.0,Descending,300,6.5,-28.13866213166987,0.031445872
4.0,Descending,18,5.8,-27.875798385311178,0.023811933
4.0,Descending,360,9.1,-32.20134768697984,0.008444588
4.0,Descending,222,3.6,-31.099133152857277,0.0058295713
5.0,Descending,299,8.2,-30.16628181989441,0.022481918
4.5,Descending,348,8.5,-30.838492963491856,0.008224643
4.5,Descending,353,5.4,-27.418305477857267,0.024218634
4.5,Descending,343,4.2,-29.333572468110436,0.010424856
4.5,Descending,334,5.9,-31.13963858927034,0.013506514
5.0,Descending,73,7.2,-27.092084602698797,0.04822963
5.0,Descending,60,3.9,-34.343992643548624,0.0050841123
5.0,Descending,88,4.2,-33.718568779469884,0.0047159903
4.0,Descending,44,5.8,-29.754709343342768,0.009458972
24.8,Descending,226,9.7,-30.851380073254354,0.013962994
31.4,Descending,287,0.1,-28.064588165312454,0.009653284
22.9,Descending,158,9.1,-26.67383501739074,0.03679283
9.4,Descending,23,2.2,-18.67495912593624,0.080907114
9.4,Descending,351,8.1,-18.80220044521635,0.08931444
9.4,Descending,1,11.5,-20.268940117128572,0.0624597
6.6,Descending,179,4.8,-24.787109194235505,0.0151603855
