sar,station,wdir,wspeed
S1A_IW_GRDH_1SDV_20170520T140035_20170520T140100_016666_01BA9A_0D7A,46219,999,99.0
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46011,342,6.3
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46053,222,3.6
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46217,999,99.0
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46218,999,99.0
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46221,999,99.0
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,46257,999,99.0
S1A_IW_GRDH_1SDV_20170520T140010_20170520T140035_016666_01BA9A_7C2B,ptgc1,  1,11.5
S1B_IW_GRDH_1SDV_20170520T042241_20170520T042306_005677_009F19_E059,51000,108,5.6
S1B_IW_GRDH_1SDV_20170520T042057_20170520T042126_005677_009F19_5021,51004, 59,7.6
S1A_IW_GRDH_1SDV_20170520T001818_20170520T001843_016658_01BA5D_566B,42035,115,9.8
S1A_IW_GRDH_1SDV_20170520T001818_20170520T001843_016658_01BA5D_566B,srst2,129,7.8
S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C,45004,354,3.1
S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C,stdm4,349,5.0
S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2,45002, 17,4.9
S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2,45022,333,2.2
S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A,45165, 36,8.7
S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A,sbio1, 27,3.1
S1A_IW_GRDH_1SDV_20170519T224307_20170519T224332_016657_01BA57_4FF9,44013, 43,6.9
S1A_IW_GRDH_1SDV_20170519T224307_20170519T224332_016657_01BA57_4FF9,iosn3,319,13.4
S1A_IW_GRDH_1SDV_20170519T224242_20170519T224307_016657_01BA57_D7E2,buzm3,234,11.6
S1A_IW_GRDH_1SDV_20170519T224217_20170519T224242_016657_01BA57_D70F,44066,213,6.4
S1B_IW_GRDH_1SDV_20170519T104833_20170519T104859_005666_009ECB_2CE8,buzm3,226,9.7
S1B_IW_GRDH_1SDV_20170519T104808_20170519T104833_005666_009ECB_B6C5,44013,225,5.5
S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585,44007,223,6.4
S1B_IW_GRDH_1SDV_20170519T104739_20170519T104808_005666_009ECB_5585,iosn3,241,7.9
S1B_IW_GRDH_1SDV_20170519T035144_20170519T035209_005662_009EA7_BEFD,drfa2, 46,7.6
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,amaa2, 89,8.6
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,auga2,124,5.1
S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F,fila2, 80,4.5
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46041,223,0.7
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46087,325,2.3
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46088,328,0.8
