,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
95,Ascending,45003,274,5.0,2.9,S1B_IW_GRDH_1SDV_20170526T232419_20170526T232448_005776_00A200_5BA7
96,Ascending,45004,289,5.0,5.9,S1B_IW_GRDH_1SDV_20170531T233313_20170531T233338_005849_00A412_6C28
97,Ascending,45004,354,5.0,3.1,S1B_IW_GRDH_1SDV_20170519T233312_20170519T233337_005674_009F04_624C
98,Ascending,45005,78,4.0,10.7,S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798
99,Ascending,45006,22,5.0,12.1,S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B
100,Ascending,45012,80,5.0,2.2,S1B_IW_GRDH_1SDV_20170523T225850_20170523T225919_005732_00A0AE_2142
101,Ascending,45012,171,5.0,4.9,S1A_IW_GRDH_1SDV_20170529T225943_20170529T230008_016803_01BED2_8BF8
102,Ascending,45012,233,5.0,4.1,S1A_IW_GRDH_1SDV_20170517T225943_20170517T230008_016628_01B96F_3FB2
103,Ascending,45012,254,5.0,5.7,S1A_IW_GRDH_1SDV_20170522T230810_20170522T230834_016701_01BBB0_7DE0
104,Ascending,45022,237,2.95,0.0,S1B_IW_GRDH_1SDV_20170531T233223_20170531T233248_005849_00A412_807B
105,Ascending,45022,333,2.95,2.2,S1B_IW_GRDH_1SDV_20170519T233222_20170519T233247_005674_009F04_8CE2
106,Ascending,41002,222,5.0,3.0,S1A_IW_GRDH_1SDV_20170627T230452_20170627T230517_017226_01CBD2_C568
107,Ascending,41009,149,4.0,6.4,S1A_IW_GRDH_1SDV_20170625T232014_20170625T232039_017197_01CAF4_5C68
108,Ascending,41010,146,4.0,1.2,S1A_IW_GRDH_1SDV_20170601T232013_20170601T232038_016847_01C02F_EFDC
109,Ascending,41025,203,5.0,4.8,S1A_IW_GRDH_1SDV_20170529T225734_20170529T225803_016803_01BED2_05BA
110,Ascending,41038,189,2.95,3.6,S1A_IW_GRDH_1SDV_20170709T230518_20170709T230543_017401_01D117_3E98
111,Ascending,41063,211,3.5,7.3,S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D
112,Ascending,45023,254,3.0,7.0,S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27
113,Ascending,45162,64,2.3,2.2,S1B_IW_GRDH_1SDV_20170526T232419_20170526T232448_005776_00A200_5BA7
114,Ascending,45162,78,2.3,7.9,S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382
115,Ascending,45163,67,2.3,9.3,S1A_IW_GRDH_1SDV_20170520T232447_20170520T232511_016672_01BACC_C382
116,Ascending,45165,36,2.0,8.7,S1B_IW_GRDH_1SDV_20170519T233128_20170519T233157_005674_009F04_896A
117,Ascending,45165,88,2.0,10.8,S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798
118,Ascending,45169,81,2.75,9.7,S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798
119,Ascending,45175,314,2.95,5.3,S1B_IW_GRDH_1SDV_20170531T233248_20170531T233313_005849_00A412_7D34
120,Ascending,45176,69,3.0,5.2,S1A_IW_GRDH_1SDV_20170520T232357_20170520T232422_016672_01BACC_9798
121,Ascending,46011,214,5.0,3.7,S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11
122,Ascending,46011,318,5.0,9.2,S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF
123,Ascending,46012,310,5.0,7.7,S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4
124,Ascending,46013,308,4.0,12.5,S1B_IW_GRDH_1SDV_20170519T020658_20170519T020723_005661_009EA1_DF1F
125,Ascending,46014,349,4.0,7.0,S1B_IW_GRDH_1SDV_20170519T020658_20170519T020723_005661_009EA1_DF1F
126,Ascending,46014,350,4.0,1.3,S1B_IW_GRDH_1SDV_20170524T021515_20170524T021540_005734_00A0BC_4155
127,Ascending,46015,8,4.0,12.4,S1B_IW_GRDH_1SDV_20170524T021630_20170524T021655_005734_00A0BC_0BC1
128,Ascending,46015,344,4.0,5.2,S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD
129,Ascending,46022,349,5.0,4.2,S1B_IW_GRDH_1SDV_20170519T020723_20170519T020748_005661_009EA1_E782
130,Ascending,46026,307,5.0,8.8,S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4
131,Ascending,46027,315,5.0,6.6,S1B_IW_GRDH_1SDV_20170519T020748_20170519T020813_005661_009EA1_6F69
132,Ascending,46027,344,5.0,12.8,S1B_IW_GRDH_1SDV_20170524T021605_20170524T021630_005734_00A0BC_8F5B
133,Ascending,46028,309,5.0,11.5,S1B_IW_GRDH_1SDV_20170519T020608_20170519T020633_005661_009EA1_CC52
134,Ascending,46029,360,5.0,0.8,S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD
135,Ascending,46041,223,5.0,0.7,S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B
136,Ascending,46050,357,4.0,2.5,S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6
137,Ascending,46050,360,4.0,9.2,S1B_IW_GRDH_1SDV_20170524T021655_20170524T021720_005734_00A0BC_25B3
138,Ascending,46053,218,4.0,3.4,S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11
139,Ascending,46054,200,4.0,1.7,S1B_IW_GRDH_1SDV_20170526T015734_20170526T015759_005763_00A197_7A11
140,Ascending,46061,108,5.0,3.6,S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85
141,Ascending,46061,355,5.0,5.1,S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C
142,Ascending,46069,297,5.0,7.2,S1B_IW_GRDH_1SDV_20170519T020543_20170519T020608_005661_009EA1_F4DF
143,Ascending,46076,14,5.0,8.8,S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C
144,Ascending,46081,259,5.0,5.3,S1B_IW_GRDH_1SDV_20170521T033513_20170521T033542_005691_009F84_A68C
145,Ascending,46086,248,5.0,1.7,S1B_IW_GRDH_1SDV_20170526T015705_20170526T015734_005763_00A197_F34D
146,Ascending,46086,284,5.0,8.4,S1B_IW_GRDH_1SDV_20170521T014854_20170521T014919_005690_009F7F_0EA7
147,Ascending,46087,325,5.0,2.3,S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B
148,Ascending,46088,328,5.0,0.8,S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B
149,Ascending,46092,290,4.0,9.3,S1B_IW_GRDH_1SDV_20170519T020633_20170519T020658_005661_009EA1_0EC4
150,Ascending,46097,281,4.5,2.1,S1B_IW_GRDH_1SDV_20170531T020839_20170531T020904_005836_00A3AE_F54B
151,Ascending,46097,357,4.5,2.8,S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6
152,Ascending,46100,149,4.5,3.0,S1B_IW_GRDH_1SDV_20170531T020904_20170531T020929_005836_00A3AE_D4BD
153,Ascending,46100,175,4.5,1.5,S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD
154,Ascending,42044,92,3.4,0.6,S1A_IW_GRDH_1SDV_20170530T003353_20170530T003418_016804_01BEDA_7F64
155,Ascending,44014,75,5.0,5.8,S1A_IW_GRDH_1SDV_20170529T225734_20170529T225803_016803_01BED2_05BA
156,Ascending,44065,96,5.0,7.4,S1A_IW_GRDH_1SDV_20170723T225031_20170723T225056_017605_01D74D_AA68.zip
157,Ascending,44066,213,5.0,6.4,S1A_IW_GRDH_1SDV_20170519T224217_20170519T224242_016657_01BA57_D70F
158,Ascending,45002,70,5.0,4.5,S1B_IW_GRDH_1SDV_20170531T233223_20170531T233248_005849_00A412_807B
159,Ascending,45006,248,5.0,7.7,S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27
160,Ascending,42013,348,3.1,5.5,S1A_IW_GRDH_1SDV_20170518T233628_20170518T233653_016643_01B9E6_6713
161,Ascending,45023,236,3.0,9.4,S1A_IW_GRDH_1SDV_20170530T234154_20170530T234219_016818_01BF4E_CF9C
162,Ascending,46100,329,4.5,10.5,S1B_IW_GRDH_1SDV_20170524T021720_20170524T021742_005734_00A0BC_DF4F
163,Ascending,fwyf1,242,43.9,7.5,S1A_IW_GRDH_1SDV_20170525T232743_20170525T232808_016745_01BD07_0389
